phenotype	NR	R	R	NR	R	R	R	R	NR	R	R	R	R	NR	R	NR	NR	R	NR	R	R	R	R	R	R	NR	R	R	R	NR	R	R	R	R	NR	R	R	R	R	NR
subject_id	Wargo.109865	Wargo.115690	Wargo.117349	Wargo.118369	Wargo.118370	Wargo.120662	Wargo.121296	Wargo.121409	Wargo.121891	Wargo.121892	Wargo.122114	Wargo.122410	Wargo.122412	Wargo.122637	Wargo.122639	Wargo.122724	Wargo.123009	Wargo.123197	Wargo.123305	Wargo.123704	Wargo.123986	Wargo.124418	Wargo.124419	Wargo.124421	Wargo.126747	Wargo.126802	Wargo.127261	Wargo.127262	Wargo.130510	Wargo.130511	Wargo.130801	Wargo.131051	Wargo.131300	Wargo.131302	Wargo.131512	Wargo.131541	Wargo.132265	Wargo.132266	Wargo.132268	Wargo.132538
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0	0	0	35	9	0	21	0	0	4	0	0	22	18	0	0	30	0	67	18	128	11	0	0	64	101	0	0	15	4	642	0	0	279	0	100	0	4	144	157
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0	129	4	68	38	10	57	38	4	32	69	2	12	127	11	21	75	24	7	60	559	3	75	7	146	9	0	1280	0	0	248	292	19	26	86	49	8	15	33	304
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Megasphaera	0	0	0	0	0	0	0	0	0	17	0	0	0	515	0	0	0	0	233	0	0	0	0	0	0	33	146	0	0	0	0	0	0	0	0	0	0	0	0	699
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0	2	0	123	0	0	0	12	2	4	0	0	0	10	0	19	10	0	0	50	0	9	4	0	0	2	9	0	14	3	12	10	54	513	23	65	6	9	176	372
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0	0	0	35	0	6	0	8	0	0	28	10	0	0	0	4	0	4	0	233	16	16	2054	0	0	0	0	0	986	0	0	0	2	68	0	5	4	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_ND3007_group	0	0	47	77	48	35	0	0	8	27	0	21	39	0	0	0	33	0	6	747	25	0	0	0	47	32	0	19	0	12	6	0	0	0	0	116	0	96	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	0	0	0	0	6	0	9	7	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	1306	0	0	0	0	0	19	0	0	5	6	0	0	0	4	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Providencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus_3	0	0	0	68	151	190	224	0	0	72	0	0	18	7	0	0	57	0	105	0	165	94	0	0	110	106	26	8	83	0	0	0	187	0	0	102	0	33	44	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_7	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	699	0	0	0	0	0	0	0	0	0	1204	0	2	3	3	5	0	7	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelotrichaceae_UCG|003	0	10	57	112	0	84	4	3	0	0	0	29	0	0	221	0	12	199	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	273	34	39	32	143	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	0	15	400	0	76	5	0	10	0	17	0	57	0	0	0	49	39	0	0	0	71	60	0	0	170	0	760	86	0	85	0	0	0	0	209	0	273	40	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Negativibacillus	0	6	48	57	264	7	0	455	0	34	0	53	36	3	1091	0	0	0	32	0	0	0	0	16	64	0	66	50	0	0	0	84	177	0	393	197	227	4	4	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_UCG|010	0	4	88	225	151	35	0	61	27	32	0	15	90	0	0	0	60	18	18	120	34	139	0	0	56	88	10	16	294	49	0	0	0	0	108	24	16	44	10	5
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0	44	0	822	4	0	2	3	0	0	0	0	1080	0	0	0	0	0	48	0	0	0	0	3	0	770	0	0	0	884	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_UCG|003	0	0	371	0	0	0	0	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium	0	0	0	16	110	6	58	37	0	0	16	0	3	17	91	30	2	11	2	448	6	0	0	4	182	7	3	0	14	11	112	77	17	95	56	7	0	0	7	7
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Citrobacter	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	106	0	0	10	360	0	0	212	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus	15	43	38	185	142	119	52	293	57	16	8	9	25	54	121	9	34	12	15	29	0	20	14	26	185	90	21	5	85	18	2	107	57	385	119	74	465	96	15	9
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0	15	4	2	3	6	9	11	2	420	0	0	5	3	998	0	224	0	0	2	56	10	50	12	100	0	0	0	0	0	9	0	0	0	0	3	2	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Veillonella	0	3	0	27	0	0	6	29	0	2	19	0	0	0	1006	9	11	0	2	6	110	9	0	0	0	0	0	3	10	0	303	0	6	306	5	24	11	3	13	79
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenellaceae_R|7_group	0	162	397	58	5	0	4	4	13	41	0	74	0	25	0	0	0	0	2	436	0	23	0	0	461	67	44	359	0	0	96	363	0	0	17	135	0	637	391	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0	0	200	7	115	4	0	38	16	15	23	22	0	20	0	45	2	3	16	104	0	0	0	0	42	18	40	7	0	8	0	454	0	0	79	33	36	4	0	11
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|CAG|352	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	20	0	0	0	0	0	0	0	0	7	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	0	0	10	11	0	44	23	54	23	17	0	7	49	0	0	29	3	0	2	161	0	4	0	12	35	2	50	29	28	27	0	44	24	0	97	0	36	0	19	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|CAG|56	0	10	0	132	0	0	0	144	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	40	49	0	0	0	0	0	0	0	35	0	0	0	0	67	144	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridioides	0	0	0	0	0	0	227	0	0	0	13	0	0	0	204	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_UCG|001	0	8	98	125	0	637	0	351	0	0	0	131	0	0	207	0	84	0	0	103	8	148	0	0	107	0	74	156	0	0	0	0	0	0	143	35	0	62	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Terrisporobacter	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	17	3	0	0	0	0	6	58	0	7	0	0	314	0	0	20	0	99	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|004	0	4	22	0	47	25	0	0	24	20	0	48	6	0	0	5	19	11	12	0	0	30	5	0	90	11	11	16	12	11	0	50	10	0	35	49	16	0	18	8
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Candidatus_Stoquefichus	0	0	0	0	186	0	0	0	12	0	0	0	12	15	0	0	0	14	0	0	0	8	0	0	13	0	0	10	66	0	0	0	0	147	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Fournierella	0	0	0	4	57	5	0	0	18	29	27	0	12	9	0	0	0	0	10	0	26	8	0	111	17	0	12	19	34	36	21	152	0	0	0	0	129	0	102	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus_1	0	11	5	36	0	0	0	15	0	82	0	0	0	0	0	0	19	0	0	0	0	14	0	6	77	5	0	0	0	0	0	0	0	125	0	30	0	7	33	0
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0	0	18	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	10	0	376	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Proteus	0	0	27	6	27	5	319	28	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinifilaceae|Butyricimonas	0	0	92	283	68	469	0	0	0	71	0	225	0	0	0	0	0	0	0	0	0	0	0	0	159	179	0	0	0	409	0	0	0	0	0	199	0	24	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea	0	0	0	7	2	8	16	16	0	0	0	0	0	0	37	0	3	0	6	28	0	2	0	11	8	16	13	0	9	0	0	25	0	183	8	10	11	0	4	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	0	0	22	14	0	19	0	0	41	17	0	0	57	0	0	0	0	0	0	0	13	52	0	21	5	111	10	16	0	0	0	0	0	0	3	24	0	59	59	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|010	0	14	184	0	0	60	0	0	36	167	0	169	0	0	0	0	0	0	0	0	17	291	0	0	0	0	0	230	0	0	0	0	0	0	89	333	4	240	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea	0	0	0	10	10	2	58	32	3	22	0	45	2	7	43	0	0	8	0	0	0	0	2	0	0	0	0	0	0	18	0	38	7	0	67	0	10	0	33	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella_4	16	0	0	0	0	0	56	0	0	0	27	67	0	0	46	0	0	0	0	51	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	0	16	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|GCA|900066575	0	0	5	21	11	12	0	0	0	4	0	11	0	0	0	0	0	2	0	5	2	2	0	195	39	0	0	0	15	0	0	0	8	0	5	8	0	13	31	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0	0	0	0	3	4	8	0	0	0	0	0	32	0	3	0	0	0	0	0	0	253	2	0	0	0	0	0	20	0	0	3	0	0	0	0	0	0	0	0
Bacteria|Epsilonbacteraeota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	0	0	0	8	0	0	3	0	0	0	0	0	0	192	0	2	0	0	0	98	0	0	0	0	0	0	0	0	2	0	0	0	2	22	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XIII|Mogibacterium	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	55	0	36	2	0	0	0	0	0	0	2	0	0	0	0	0	0	72	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemanella	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	66	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Eggerthellaceae|Eggerthella	0	0	0	0	6	8	7	0	2	0	18	4	0	43	0	8	0	4	8	0	51	0	0	0	18	0	0	0	0	0	70	0	7	0	7	0	2	0	3	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	0	0	0	0	5	5	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	211	0	0	0	3	0	0	0	0	3	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella_6	0	0	3	0	0	0	0	0	0	0	0	0	3	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	4
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XIII|Family_XIII_AD3011_group	0	3	32	28	139	7	16	0	0	240	0	10	2	0	0	0	0	0	0	117	7	18	0	0	76	0	9	46	0	0	0	0	0	0	25	3	0	18	3	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Sellimonas	0	0	0	0	0	5	9	15	5	0	7	0	0	38	0	0	0	3	3	27	32	0	0	0	4	0	0	0	37	25	85	0	0	41	12	5	7	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Hydrogenoanaerobacterium	0	7	62	0	0	0	0	25	6	2	0	23	0	0	3	0	0	0	9	109	0	8	0	0	3	0	7	16	0	0	0	2	0	0	32	0	7	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_AC2044_group	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0
Archaea|Euryarchaeota|Thermoplasmata|Methanomassiliicoccales|Methanomethylophilaceae|Candidatus_Methanogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0	0	0	0	0	69	0	4	0	0	0	0	23	15	0	2	0	6	0	0	0	3	0	0	29	17	11	0	0	0	60	0	0	9	0	56	0	13	55	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	2	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Angelakisella	0	0	16	0	35	25	0	0	13	33	0	10	6	0	14	0	0	0	0	0	0	14	0	0	45	9	45	15	0	0	0	10	14	0	25	19	97	3	17	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|GCA|900066225	0	8	9	0	127	7	0	0	7	41	0	0	58	39	0	0	0	0	0	17	7	9	0	0	31	2	11	34	0	0	21	30	0	0	11	33	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus	0	0	0	0	0	0	21	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	3	0	93	0	0	2	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium_1	0	8	26	0	0	0	0	0	0	14	0	91	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelotrichaceae_UCG|004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	128	0	5	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Raoultella	0	0	23	0	19	0	57	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerofilum	0	0	18	0	7	0	0	0	3	9	0	0	0	0	2	0	0	0	0	0	4	2	0	0	24	0	3	8	0	0	0	51	0	0	15	0	4	10	2	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	22	0	4	0	13	0	0	16	0	9	0	0	0	0	0	25	0	0	3	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Pygmaiobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Family_XI|Gemella	0	0	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	8	5	0	0	0	3	7	4	7	7	0	4	5	2	4	5
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Caproiciproducens	3	0	8	3	24	0	0	0	4	17	0	0	0	5	11	2	3	0	0	13	3	7	0	0	19	3	25	38	0	9	0	91	0	0	0	8	0	0	6	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Peptococcus	0	0	0	0	0	0	0	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	40	5	67	0	0	0	0	0	0	0	0	0	3	10	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XI|Ezakiella	0	0	16	4	10	7	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XIII|Family_XIII_UCG|001	0	0	2	5	11	0	0	0	9	5	0	2	0	0	0	0	0	4	4	0	0	6	0	0	11	0	0	0	3	0	0	0	0	0	10	23	0	7	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|GCA|900066755	0	0	0	3	17	0	0	0	0	0	0	0	0	59	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	0	0	0	0	0	0	9	58	0	12	0	0	0	0	0	0	0	0	0	71	10	0	0	3	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0	0	0	0	0	0	3	4	0	0	0	0	28	4	4	3	0	0	0	62	2	70	0	0	0	0	0	0	5	0	0	0	0	3	0	2	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Eggerthellaceae|Adlercreutzia	0	0	0	0	18	0	0	0	3	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	4	0	0	5	0	0	2	0
Bacteria|Epsilonbacteraeota|Campylobacteria|Campylobacterales|Arcobacteraceae|Arcobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|009	0	8	4	0	0	0	0	0	0	32	0	2	0	0	0	0	5	0	3	0	0	13	0	0	21	0	0	5	0	0	0	0	0	0	15	19	0	6	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_FCS020_group	0	0	0	24	0	7	0	0	0	0	0	6	0	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	6	31	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae|Victivallis	0	0	0	3	0	64	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
Archaea|Euryarchaeota|Thermoplasmata|Methanomassiliicoccales|Methanomassiliicoccaceae|Methanomassiliicoccus	0	4	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Harryflintia	0	2	10	0	5	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	29	0	0	0	0	0	0	0	0	0	4	9	8	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0	0	3	0	5	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Pseudoflavonifractor	0	0	0	2	19	8	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	16	18	0	6	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Dielma	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	11	0	14	0	0	0	0	17	10	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcaceae_UCG|011	0	5	21	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	11	18	0	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia	0	5	16	4	64	20	0	0	0	17	0	19	0	0	0	0	4	0	0	29	6	0	0	0	9	15	0	14	0	0	0	0	0	24	0	0	0	21	17	9
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Merdibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Candidatus_Soleaferrea	0	3	0	0	58	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	5	5	0	2	5	0	0	0	0	0	0	3	5	15	9	7	6	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Burkholderiaceae|Oxalobacter	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	25	0	8	13	0	0	0	0	0	0	9	0	12	4	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Eggerthellaceae|Slackia	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Sarcina	0	0	0	0	0	0	0	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiraceae_NK4B4_group	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	0	0	4	0	3	0	0	0	2	0	0	0	0	10	2	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	10	2	0	7	0	0	0	0	4	5
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
